municipio,vul_car_pob,NOM_MUN,NOM_LOC,PCON_LIMI,PHOG_IND,P5_HLI_NHE,PCON_DISC,VPH_PISODT,VPH_S_ELEC
Yajalón,"2,490",Yajalón,Total del Municipio,2445,32253,4669,1431,6674,224
San Lucas,829,San Lucas,Total del Municipio,839,1601,9,460,1666,45
Zinacantán,"1,233",Zinacantán,Total del Municipio,2355,45060,12170,1209,7872,55
San Juan Cancuc,227,San Juan Cancuc,Total del Municipio,1274,37899,19374,877,4686,224
Aldama,86,Aldama,Total del Municipio,391,8475,3710,250,1408,19
Benemérito de las Américas,"5,317",Benemérito de las Américas,Total del Municipio,1435,8808,251,940,4844,138
Maravilla Tenejapa,406,Maravilla Tenejapa,Total del Municipio,750,8132,251,514,2556,89
Marqués de Comillas,"2,460",Marqués de Comillas,Total del Municipio,824,7082,287,555,2600,41
Montecristo de Guerrero,572,Montecristo de Guerrero,Total del Municipio,508,226,4,305,1500,38
San Andrés Duraznal,18,San Andrés Duraznal,Total del Municipio,277,5948,917,225,1205,15
Santiago el Pinar,110,Santiago el Pinar,Total del Municipio,250,4959,1690,207,706,7
Capitán Luis Ángel Vidal,328,Capitán Luis Ángel Vidal,Total del Municipio,284,28,0,121,578,19
Rincón Chamula San Pedro,180,Rincón Chamula San Pedro,Total del Municipio,559,8161,2177,612,1362,23
El Parral,"2,635",El Parral,Total del Municipio,1632,772,26,1061,4004,76
Emiliano Zapata,"2,294",Emiliano Zapata,Total del Municipio,1370,2659,120,623,2583,37
Mezcalapa,"4,347",Mezcalapa,Total del Municipio,2240,8066,341,1094,5003,184
Honduras de la Sierra,n.d,Honduras de la Sierra,Total del Municipio,519,40,0,619,1852,47
Ahumada,"4,459",Ahumada,Total del Municipio,1589,124,1,646,4154,18
Aldama,"8,499",Aldama,Total del Municipio,3147,430,12,1403,8198,20
Allende,"2,612",Allende,Total del Municipio,1084,260,0,524,2722,35
Aquiles Serdán,"4,909",Aquiles Serdán,Total del Municipio,1793,493,0,704,6982,7
Ascensión,"11,319",Ascensión,Total del Municipio,2127,855,19,948,7777,71
Bachíniva,"4,076",Bachíniva,Total del Municipio,1059,307,10,384,1978,24
Balleza,"5,156",Balleza,Total del Municipio,1224,9382,1076,639,3638,1013
Batopilas,727,,,,,,,,
Bocoyna,"3,919",Bocoyna,Total del Municipio,2274,3920,81,921,7124,902
Buenaventura,"8,609",Buenaventura,Total del Municipio,3273,1362,77,1105,7737,24
Camargo,"14,697",Camargo,Total del Municipio,3714,1261,32,1519,15589,60
Carichí,"3,356",Carichí,Total del Municipio,885,4363,835,356,1791,385
Casas Grandes,"4,944",Casas Grandes,Total del Municipio,1913,430,26,880,3658,91
Coronado,"1,361",Coronado,Total del Municipio,374,18,0,144,668,10
Coyame del Sotol,878,Coyame del Sotol,Total del Municipio,115,23,0,42,428,10
La Cruz,"2,576",La Cruz,Total del Municipio,510,81,2,185,1162,9
Cuauhtémoc,"64,961",Cuauhtémoc,Total del Municipio,19762,4659,55,7379,56513,105
Cusihuiriachi,"2,871",Cusihuiriachi,Total del Municipio,582,390,16,301,1684,22
Chihuahua,"278,154",Chihuahua,Total del Municipio,94463,17195,91,40102,298216,397
Chínipas,"2,471",Chínipas,Total del Municipio,835,986,19,497,1264,353
Delicias,"34,941",Delicias,Total del Municipio,15193,1418,19,7004,47428,89
Dr. Belisario Domínguez,"1,386",Dr. Belisario Domínguez,Total del Municipio,409,157,9,239,940,14
Galeana,"4,226",Galeana,Total del Municipio,770,534,36,256,1789,18
Santa Isabel,"2,569",Santa Isabel,Total del Municipio,583,93,2,245,1281,8
Gómez Farías,"3,303",Gómez Farías,Total del Municipio,1384,52,0,724,2530,7
Gran Morelos,"1,588",Gran Morelos,Total del Municipio,494,91,0,129,899,5
Guachochi,"10,542",Guachochi,Total del Municipio,4621,32340,3130,1714,10619,3369
Guadalupe,"2,116",Guadalupe,Total del Municipio,662,4,0,253,1356,8
Guadalupe y Calvo,"9,933",Guadalupe y Calvo,Total del Municipio,5572,21671,1712,2259,8212,3413
Guazapares,"2,246",Guazapares,Total del Municipio,1030,2540,121,448,1679,331
